Country A;Country B; Prob. of same group 
EURCAD;EURSGD; 0.72 
EURBRL;EURINR; 0.72 
EURUSD;EURCNH; 0.70 
EURCAD;EURAUD; 0.70 
EURGBP;EURCNH; 0.70 
EURUSD;EURJPY; 0.64 
EURUSD;EURSGD; 0.64 
EURJPY;EURSGD; 0.62 
EURKRW;EURSGD; 0.62 
EURAUD;EURSGD; 0.58 
EURCAD;EURKRW; 0.56 
EURAUD;EURBRL; 0.56 
EURCNH;EURSGD; 0.56 
EURSEK;EURMXN; 0.54 
EURAUD;EURKRW; 0.52 
EURAUD;EURINR; 0.52 
EURGBP;EURKRW; 0.50 
EURUSD;EURCAD; 0.48 
EURUSD;EURGBP; 0.48 
EURJPY;EURCNH; 0.46 
EURGBP;EURSGD; 0.46 
EURKRW;EURCNH; 0.46 
EURCNH;EURINR; 0.46 
EURCAD;EURCNH; 0.44 
EURUSD;EURINR; 0.42 
EURCAD;EURJPY; 0.42 
EURCAD;EURMXN; 0.42 
EURAUD;EURCNH; 0.42 
EURINR;EURSGD; 0.42 
EURCAD;EURBRL; 0.40 
EURCAD;EURINR; 0.40 
EURMXN;EURINR; 0.40 
EURCAD;EURGBP; 0.38 
EURGBP;EURINR; 0.38 
EURSEK;EURBRL; 0.38 
EURJPY;EURAUD; 0.36 
EURJPY;EURGBP; 0.36 
EURBRL;EURSGD; 0.36 
EURUSD;EURAUD; 0.34 
EURAUD;EURMXN; 0.34 
EURKRW;EURINR; 0.34 
EURJPY;EURBRL; 0.32 
EURSEK;EURINR; 0.32 
EURMXN;EURCNH; 0.32 
EURAUD;EURGBP; 0.30 
EURAUD;EURSEK; 0.28 
EURGBP;EURMXN; 0.28 
EURMXN;EURBRL; 0.28 
EURUSD;EURMXN; 0.26 
EURUSD;EURKRW; 0.26 
EURCAD;EURSEK; 0.26 
EURJPY;EURKRW; 0.26 
EURGBP;EURSEK; 0.26 
EURMXN;EURSGD; 0.26 
EURKRW;EURBRL; 0.26 
EURMXN;EURKRW; 0.24 
EURCNH;EURBRL; 0.24 
EURJPY;EURINR; 0.22 
EURUSD;EURBRL; 0.18 
EURSEK;EURCNH; 0.18 
EURUSD;EURSEK; 0.16 
EURJPY;EURSEK; 0.16 
EURGBP;EURBRL; 0.16 
EURSEK;EURKRW; 0.16 
EURSEK;EURSGD; 0.16 
EURJPY;EURMXN; 0.12 
