Month;EURUSD;EURCAD;EURJPY;EURHKD;EURAUD;EURGBP;EURSEK;EURMXN;EURKRW;EURCNH;EURBRL;EURINR;EURSGD
29/10/2010;1.3947;1.42175;112.12;10.8097;1.41798;0.86927;9.302;17.2168;1561.5;9.1778;2.3655;61.5488;1.8042
30/11/2010;1.2983;1.33244;108.65;10.0819;1.35412;0.83428;9.1252;16.2112;1518.92;8.6402;2.2305;59.8042;1.7141
31/12/2010;1.3384;1.33562;108.47;10.4045;1.30798;0.85737;8.987;16.5174;1497.88;8.8067;2.2218;59.803;1.7176
31/1/2011;1.3694;1.37068;112.34;10.6769;1.37295;0.85512;8.8292;16.5989;1526.5;9.0209;2.2829;62.7513;1.7522
28/2/2011;1.3806;1.34146;112.91;10.7523;1.35552;0.84921;8.7316;16.7087;1553.71;9.0685;2.2953;62.6494;1.7556
31/3/2011;1.4158;1.37425;117.69;11.0129;1.37069;0.88331;8.9523;16.8533;1552.31;9.2692;2.3099;63.3943;1.7847
29/4/2011;1.4807;1.39942;120.22;11.4994;1.3497;0.88617;8.9466;17.0203;1590.41;9.564;2.3325;65.7526;1.8129
31/5/2011;1.4396;1.39442;117.37;11.1958;1.34899;0.87529;8.885;16.6563;1552.08;9.3287;2.2749;64.8942;1.7757
30/6/2011;1.4502;1.3971;116.84;11.2851;1.35262;0.90339;9.1765;16.9864;1548.43;9.3763;2.2657;64.6878;1.7815
29/7/2011;1.4398;1.37543;110.54;11.2224;1.30956;0.87641;9.0378;16.8944;1506.62;9.2578;2.2308;63.0231;1.7337
31/8/2011;1.4369;1.40497;110.16;11.1881;1.34214;0.88429;9.1153;17.7277;1539.55;9.1374;2.2839;66.2271;1.7306
30/9/2011;1.3387;1.40582;103.12;10.4231;1.38563;0.85897;9.2015;18.6096;1597.43;8.6962;2.5159;66.6358;1.7501
31/10/2011;1.3858;1.38682;108.33;10.7649;1.31601;0.86147;9.0123;18.5049;1554.04;8.8561;2.3748;68.2577;1.7385
30/11/2011;1.3446;1.36812;104.37;10.4444;1.3076;0.85617;9.0944;18.3202;1523.13;8.5935;2.43;69.57;1.7232
30/12/2011;1.2961;1.32368;99.66;10.0689;1.26938;0.83339;8.9182;18.0655;1491.23;8.2224;2.416;68.742;1.6803
31/1/2012;1.3084;1.31177;99.78;10.1463;1.23181;0.8302;8.8972;17.0667;1482.23;8.2424;2.2859;65.252;1.6462
29/2/2012;1.3325;1.31904;108.13;10.3349;1.24155;0.83724;8.8203;17.138;1507.22;8.3882;2.288;65.884;1.668
30/3/2012;1.3343;1.33245;110.56;10.3624;1.28962;0.83269;8.8261;17.0876;1512.65;8.4258;2.4375;67.924;1.6781
30/4/2012;1.3239;1.30703;105.67;10.2714;1.26955;0.81545;8.9004;17.2284;1497.57;8.3411;2.5253;69.702;1.638
31/5/2012;1.2365;1.27715;96.84;9.5984;1.27038;0.8026;8.9877;17.7748;1462.78;7.8722;2.5012;69.602;1.5935
29/6/2012;1.2667;1.28752;101.04;9.8255;1.23726;0.80642;8.7664;16.9227;1442.55;8.0522;2.5448;70.092;1.6022
31/7/2012;1.2304;1.23417;96.12;9.5409;1.1714;0.78475;8.3656;16.3989;1387.33;7.8437;2.5301;68.343;1.5316
31/8/2012;1.2579;1.24053;98.56;9.7552;1.21862;0.79309;8.3356;16.5901;1418.55;7.9869;2.5536;69.896;1.5686
28/9/2012;1.286;1.26491;100.21;9.9714;1.23907;0.79549;8.4414;16.5364;1436.97;8.1029;2.6059;68.343;1.5784
31/10/2012;1.296;1.29527;103.38;10.0438;1.24907;0.80348;8.5988;16.9688;1413.56;8.0863;2.6323;70.041;1.5814
30/11/2012;1.2986;1.29129;107.11;10.0645;1.24539;0.81108;8.6506;16.8378;1408.04;8.0711;2.777;70.59;1.5845
31/12/2012;1.3193;1.30948;114.46;10.2246;1.26922;0.81189;8.5802;16.9611;1405.06;8.2075;2.7074;72.5456;1.6113
31/1/2013;1.3579;1.35407;124.53;10.5299;1.3025;0.85625;8.6381;17.2532;1478.48;8.434;2.7032;72.0971;1.6802
28/2/2013;1.3057;1.34566;120.85;10.1259;1.2782;0.86108;8.4427;16.6861;1423.85;8.1247;2.5815;71.3121;1.6171
29/3/2013;1.2819;1.30436;120.76;9.9535;1.23035;0.84358;8.3671;15.8177;1422.82;7.9522;2.5912;69.4976;1.5899
30/4/2013;1.3168;1.32649;128.32;10.2186;1.26966;0.84778;8.5398;15.9777;1443.77;8.1152;2.6357;70.3452;1.6216
